v_index	tmin	tmax	file_name	MD5_hash	creator	video_id	width	height	codec_name	bit_rate	nb_frames	pix_fmt	duration	r_frame_rate	horizontal_flip	vertical_flip
85	60	65	apple_CE279831-1CA7-4A83-A97B-FF1E20234396.mov	1de10adb1931bf412c349f6ce4789279	apple	CE279831-1CA7-4A83-A97B-FF1E20234396	3840	2160	hevc	8091445	86401	yuv420p10le	360.363334	5994/25	0	0
86	5	10	apple_CE9B5D5B-B6E7-47C5-8C04-59BF182E98FB.mov	e7128d5267c26d29a2e970fba4e84e7f	apple	CE9B5D5B-B6E7-47C5-8C04-59BF182E98FB	3840	2160	hevc	15054938	45713	yuv420p10le	190.660002	5994/25	0	0
87	160	165	apple_D5CFB2FF-5F8C-4637-816B-3E42FC1229B8.mov	f24c9e0b6ab4c68de78fe908a64ba26e	apple	D5CFB2FF-5F8C-4637-816B-3E42FC1229B8	3840	2160	hevc	10255746	49425	yuv420p10le	206.143335	5994/25	0	0
88	180	210	apple_D759828B-4BAB-456B-AD75-225BA238F925.mov	f7bd64005ad34086424e7051f8c8f91f	apple	D759828B-4BAB-456B-AD75-225BA238F925	3840	2160	hevc	11255669	85633	yuv420p10le	357.160002	5994/25	0	0
89	85	95	apple_D7950C0A-27B9-4034-AB5B-EDB89D41341A.mov	cfbb77fb7b25a531e0c4b53096743d57	apple	D7950C0A-27B9-4034-AB5B-EDB89D41341A	3840	2160	hevc	15605352	112321	yuv420p10le	468.471668	5994/25	0	0
90	75	80	apple_DAD82DCE-F3AE-4AEC-8A79-1694D412FC0A.mov	51f95e6104c644aff3b739aad5f8eb77	apple	DAD82DCE-F3AE-4AEC-8A79-1694D412FC0A	3840	2160	hevc	13791979	134305	yuv420p10le	560.163334	5994/25	0	0
91	90	100	apple_DD266E1F-5DF2-4CDB-A2EB-26CE35664657.mov	45a8211fa0239f54ce868f7c3c38812c	apple	DD266E1F-5DF2-4CDB-A2EB-26CE35664657	3840	2160	hevc	14859280	45841	yuv420p10le	191.194999	5994/25	0	0
92	122	127	apple_DD47D8E1-CB66-4C12-BFEA-2ADB0D8D1E2E.mov	ec686423ef06398110dac2cbbc783d23	apple	DD47D8E1-CB66-4C12-BFEA-2ADB0D8D1E2E	3840	2160	hevc	12116207	51905	yuv420p10le	216.486666	5994/25	0	0
93	120	130	apple_DDE50C77-B7CB-4488-9EB1-D1B13BF21FFE.mov	28cbff072d1f662e80fa834d88e8d981	apple	DDE50C77-B7CB-4488-9EB1-D1B13BF21FFE	3840	2160	hevc	13531058	76865	yuv420p10le	320.589998	5994/25	0	0
94	200	210	apple_E161929C-0819-4BC2-8359-550C081C7D54.mov	ba55d7faf1c4deb3a23d0b8460a17c0a	apple	E161929C-0819-4BC2-8359-550C081C7D54	3840	2160	hevc	11667293	62593	yuv420p10le	261.064998	5994/25	0	0
95	400	420	apple_E334A6D2-7145-47C8-9B00-C20DED08B2D5.mov	f2e940a5cb8174740ffd440b17a1c8d9	apple	E334A6D2-7145-47C8-9B00-C20DED08B2D5	3840	2160	hevc	12402503	112593	yuv420p10le	469.606665	5994/25	0	0
96	230	240	apple_E487C6EF-B3FB-427B-A2BE-8CBA60F902F0.mov	18c82a21002bcd617370001d4a18919e	apple	E487C6EF-B3FB-427B-A2BE-8CBA60F902F0	3840	2160	hevc	11472254	72001	yuv420p10le	300.303332	5994/25	0	0
97	95	110	apple_E540DEE6-4C40-42C8-9CCC-D4CB0FAD7D7B.mov	bef147cd50bdfa3b48d127f20c3f406b	apple	E540DEE6-4C40-42C8-9CCC-D4CB0FAD7D7B	3840	2160	hevc	12590807	73201	yuv420p10le	305.308333	5994/25	0	0
98	240	300	apple_E54D5AFE-F362-4D48-A20D-F2C21D2B5330.mov	334ae90d7c34118c6242b1c54cfe48da	apple	E54D5AFE-F362-4D48-A20D-F2C21D2B5330	3840	2160	hevc	12508345	120801	yuv420p10le	503.839998	5994/25	0	0
99	225	235	apple_E556BBC5-D0A0-4DB1-AC77-BC76E4A526F4.mov	3fe15e210f41f3e5767651efb4776daa	apple	E556BBC5-D0A0-4DB1-AC77-BC76E4A526F4	3840	2160	hevc	8205558	80657	yuv420p10le	336.406665	5994/25	0	0
100	80	95	apple_E5799A24-1949-4E66-A17B-B5EB05F28C5D.mov	cdadfa870ec07283cdd1f4dd6143b7de	apple	E5799A24-1949-4E66-A17B-B5EB05F28C5D	3840	2160	hevc	15456290	54929	yuv420p10le	229.098332	5994/25	0	0
101	145	148	apple_E580E5A5-0888-4BE8-A4CA-F74A18A643C3.mov	2db4b6a9d6625ddd8c6f472d31c02228	apple	E580E5A5-0888-4BE8-A4CA-F74A18A643C3	3840	2160	hevc	15300695	124721	yuv420p10le	520.189998	5994/25	0	0
102	450	600	apple_E5D58CC2-3C52-4206-9DA2-427DC88B5896.mov	d8219caa23c0092576950031bf139356	apple	E5D58CC2-3C52-4206-9DA2-427DC88B5896	3840	2160	hevc	14527845	181185	yuv420p10le	755.691667	5994/25	0	0
103	7	12	apple_E5DB138A-F04E-4619-B896-DE5CB538C534.mov	1b831d31d6f723eb6252c5f40aac2bc2	apple	E5DB138A-F04E-4619-B896-DE5CB538C534	3840	2160	hevc	9692556	31969	yuv420p10le	133.336666	5994/25	0	0
104	5	10	apple_EB3F48E7-D30F-4079-858F-1A61331D5026.mov	5b3747e568e1cdbbd5ef2aed5df87419	apple	EB3F48E7-D30F-4079-858F-1A61331D5026	3840	2160	hevc	13124002	72001	yuv420p10le	300.300000	239763/1000	0	0
105	0	3	apple_EC3DC957-D4C2-4732-AACE-7D0C0F390EC8.mov	eb1f949675bd6f5c180d615392550597	apple	EC3DC957-D4C2-4732-AACE-7D0C0F390EC8	3840	2160	hevc	11266309	51041	yuv420p10le	212.883333	5994/25	0	0
106	0	15	apple_EE01F02D-1413-436C-AB05-410F224A5B7B.mov	8d71f09d2f114e9db23989f9b4d22cd4	apple	EE01F02D-1413-436C-AB05-410F224A5B7B	3840	2160	hevc	7375023	144001	yuv420p10le	600.603332	5994/25	0	0
